"Accession","class"
"GCA_000001635.9","Mammalia"
"GCA_000003025.6","Mammalia"
"GCA_000004195.4","Amphibia"
"GCA_000090745.2","Lepidosauria"
"GCA_000146605.4","Aves"
"GCA_000165445.3","Mammalia"
"GCA_000238955.5","Actinopteri"
"GCA_000241765.5","Lepidosauria"
"GCA_000242695.1","Actinopteri"
"GCA_000247795.2","Mammalia"
"GCA_000247815.2","Aves"
"GCA_000317375.1","Mammalia"
"GCA_000409795.2","Mammalia"
"GCA_000523025.1","Actinopteri"
"GCA_000633615.2","Actinopteri"
"GCA_000721915.3","Actinopteri"
"GCA_000738735.6","Aves"
"GCA_000803125.3","Mammalia"
"GCA_000972845.2","Actinopteri"
"GCA_000978405.1","Mammalia"
"GCA_001039535.1","Mammalia"
"GCA_001444195.3","Actinopteri"
"GCA_001465895.2","Actinopteri"
"GCA_001522545.3","Aves"
"GCA_001577835.2","Aves"
"GCA_001640805.2","Actinopteri"
"GCA_001649575.2","Actinopteri"
"GCA_001660625.3","Actinopteri"
"GCA_001700915.1","Aves"
"GCA_001704415.2","Mammalia"
"GCA_001746935.2","Aves"
"GCA_001858045.3","Actinopteri"
"GCA_001883655.1","Mammalia"
"GCA_001887795.1","Aves"
"GCA_001904815.2","Actinopteri"
"GCA_002007445.3","Mammalia"
"GCA_002021735.2","Actinopteri"
"GCA_002078875.2","Aves"
"GCA_002201575.2","Mammalia"
"GCA_002234675.1","Actinopteri"
"GCA_002263795.3","Mammalia"
"GCA_002775205.2","Actinopteri"
"GCA_002776525.5","Mammalia"
"GCA_002837175.5","Mammalia"
"GCA_002863925.1","Mammalia"
"GCA_002910315.2","Actinopteri"
"GCA_002915635.3","Amphibia"
"GCA_002922805.2","Actinopteri"
"GCA_003047355.2","Actinopteri"
"GCA_003255815.1","Mammalia"
"GCA_003331165.2","Actinopteri"
"GCA_003339765.3","Mammalia"
"GCA_003368295.1","Actinopteri"
"GCA_003400415.2","Lepidosauria"
"GCA_003668045.2","Mammalia"
"GCA_003704035.3","Mammalia"
"GCA_003704135.2","Mammalia"
"GCA_003711565.2","Actinopteri"
"GCA_003829775.2","Aves"
"GCA_003957555.2","Aves"
"GCA_003957565.4","Aves"
"GCA_003999625.1","Actinopteri"
"GCA_004010195.1","Chondrichthyes"
"GCA_004023545.1","Actinopteri"
