,well,compound,concentration,gene,group,AUC,file
1,B1,Cinobufagin,0.05,Bul_1,DRcurve,5826.906774,Data 05-10-24 1.txt
2,B2,Cinobufagin,0.05,Bul_1,DRcurve,8084.707588,Data 05-10-24 1.txt
3,B3,Cinobufagin,0.05,Bul_1,DRcurve,6469.159546,Data 05-10-24 1.txt
4,B4,Cinobufagin,0.05,Bul_1,DRcurve,7186.723972,Data 05-10-24 1.txt
5,B5,Cinobufagin,0.05,Bul_1,DRcurve,7639.642628,Data 05-10-24 1.txt
6,B6,Cinobufagin,0.05,Bul_1,DRcurve,6622.069915,Data 05-10-24 1.txt
7,C1,Cinobufagin,0.025,Bul_1,DRcurve,6807.27813,Data 05-10-24 1.txt
8,C2,Cinobufagin,0.025,Bul_1,DRcurve,6652.003144,Data 05-10-24 1.txt
9,C3,Cinobufagin,0.025,Bul_1,DRcurve,5709.452549,Data 05-10-24 1.txt
10,C4,Cinobufagin,0.025,Bul_1,DRcurve,6094.18516,Data 05-10-24 1.txt
11,C5,Cinobufagin,0.025,Bul_1,DRcurve,4825.456438,Data 05-10-24 1.txt
12,C6,Cinobufagin,0.025,Bul_1,DRcurve,4736.749556,Data 05-10-24 1.txt
13,D1,Cinobufagin,0.0125,Bul_1,DRcurve,5281.638922,Data 05-10-24 1.txt
14,D2,Cinobufagin,0.0125,Bul_1,DRcurve,5851.526412,Data 05-10-24 1.txt
15,D3,Cinobufagin,0.0125,Bul_1,DRcurve,4079.892056,Data 05-10-24 1.txt
16,D4,Cinobufagin,0.0125,Bul_1,DRcurve,5314.496838,Data 05-10-24 1.txt
17,D5,Cinobufagin,0.0125,Bul_1,DRcurve,6934.1796,Data 05-10-24 1.txt
18,D6,Cinobufagin,0.0125,Bul_1,DRcurve,3544.711145,Data 05-10-24 1.txt
19,E1,Cinobufagin,0.00625,Bul_1,DRcurve,5832.212459,Data 05-10-24 1.txt
20,E2,Cinobufagin,0.00625,Bul_1,DRcurve,4819.952523,Data 05-10-24 1.txt
21,E3,Cinobufagin,0.00625,Bul_1,DRcurve,4564.289117,Data 05-10-24 1.txt
22,E4,Cinobufagin,0.00625,Bul_1,DRcurve,4174.206646,Data 05-10-24 1.txt
23,E5,Cinobufagin,0.00625,Bul_1,DRcurve,3455.688075,Data 05-10-24 1.txt
24,E6,Cinobufagin,0.00625,Bul_1,DRcurve,3333.931246,Data 05-10-24 1.txt
25,F1,Cinobufagin,0.003125,Bul_1,DRcurve,5892.545708,Data 05-10-24 1.txt
26,F2,Cinobufagin,0.003125,Bul_1,DRcurve,5247.644833,Data 05-10-24 1.txt
27,F3,Cinobufagin,0.003125,Bul_1,DRcurve,3881.880266,Data 05-10-24 1.txt
28,F4,Cinobufagin,0.003125,Bul_1,DRcurve,4934.383624,Data 05-10-24 1.txt
29,F5,Cinobufagin,0.003125,Bul_1,DRcurve,3771.645312,Data 05-10-24 1.txt
