Accession,Number of Genes,Number of Clusters Old,Number of Clusters,Fraction Clustered,Total Len(kb),Total Space (kb/receptor)
GCA_009819775.1,1,0,0,0.0,0,nan
GCA_027887145.1,14,3,3,0.9285714285714286,66477,5113.62
GCA_009819775.1,1,0,0,0.0,0,nan
GCA_027887145.1,14,3,3,0.9285714285714286,66477,5113.62
GCA_009819775.1,1,0,0,0.0,0,NA
