Name,Gene,First,Last,Full_name
TAS2R1,chr5,9627347,9903876,chr5:9627347-9903876
TAS2R16,chr7,122994704,122995700,chr7:122994704-122995700
TAS2R3,chr7,141764097,141765197,chr7:141764097-141765197
TAS2R4,chr7,141776674,141781691,chr7:141776674-141781691
TAS2R5,chr7,141790217,141791367,chr7:141790217-141791367
TAS2R38,chr7,141972631,141973773,chr7:141972631-141973773
TAS2R39,chr7,143183419,143184435,chr7:143183419-143184435
TAS2R40,chr7,143222037,143223079,chr7:143222037-143223079
TAS2R60,chr7,143443453,143444409,chr7:143443453-143444409
TAS2R41,chr7,143477873,143478796,chr7:143477873-143478796
TAS2R7,chr12,10801532,10802627,chr12:10801532-10802627
TAS2R8,chr12,10806051,10807286,chr12:10806051-10807286
TAS2R9,chr12,10809094,10810168,chr12:10809094-10810168
TAS2R10,chr12,10825219,10826358,chr12:10825219-10826358
TAS2R13,chr12,10907926,10909562,chr12:10907926-10909562
TAS2R14,chr12,10937410,10939263,chr12:10937410-10939263
TAS2R50,chr12,10985913,10986912,chr12:10985913-10986912
TAS2R20,chr12,10995961,10998304,chr12:10995961-10998304
TAS2R19,chr12,11021619,11022620,chr12:11021619-11022620
TAS2R31,chr12,11030387,11031407,chr12:11030387-11031407
TAS2R46,chr12,11061365,11062294,chr12:11061365-11062294
TAS2R43,chr12,11091287,11092313,"chr12:11091287-11092313,"
TAS2R30,chr12,11132958,11134644,chr12:11132958-11134644
TAS2R42,chr12,11185993,11186937,chr12:11185993-11186937
TAS2R45,NT_187658.1,291887,292786,NT_187658.1:291887-292786
