Name,Gene,First,Last,Full_name
LOC102362839,NW_005823233.1,58459,59388,NW_005823233.1:58459-59388
LOC102362753,NW_005834172.1,645,1344,NW_005834172.1:645-1344
LOC102361868,NW_005829324.1,2836,3756,NW_005829324.1:2836-3756
LOC102353085,NW_005822273.1,153489,154391,NW_005822273.1:153489-154391
LOC102366395,NW_005822199.1,97697,98614,NW_005822199.1:97697-98614
LOC102366149,NW_005822199.1,70759,71664,NW_005822199.1:70759-71664
LOC102365896,NW_005822199.1,61804,62709,NW_005822199.1:61804-62709
LOC102362579,NW_005823233.1,23237,24166,NW_005823233.1:23237-24166
LOC102362291,NW_005821752.1,251653,261075,NW_005821752.1:251653-261075
LOC102361857,NW_005822437.1,167404,168294,NW_005822437.1:167404-168294
LOC102361766,NW_005821752.1,156006,156908,NW_005821752.1:156006-156908
LOC102361599,NW_005829291.1,2420,3322,NW_005829291.1:2420-3322
LOC102361232,NW_005821752.1,95565,96470,NW_005821752.1:95565-96470
LOC102361074,NW_005823366.1,32974,33885,NW_005823366.1:32974-33885
LOC102361047,NW_005821316.1,4368,5273,NW_005821316.1:4368-5273
LOC102359563,NW_005822286.1,151901,152752,NW_005822286.1:151901-152752
LOC102359289,NW_005822286.1,38768,39661,NW_005822286.1:38768-39661
LOC102359134,NW_005829116.1,2667,3572,NW_005829116.1:2667-3572
LOC102356057,NW_005820534.1,328943,329863,NW_005820534.1:328943-329863
LOC102353277,NW_005824444.1,39634,40533,NW_005824444.1:39634-40533
LOC102352826,NW_005822273.1,124190,125143,NW_005822273.1:124190-125143
LOC102352750,NW_005823425.1,82412,83314,NW_005823425.1:82412-83314
LOC102352282,NW_005822273.1,63360,64304,NW_005822273.1:63360-64304
LOC102352201,NW_005823425.1,56750,57640,NW_005823425.1:56750-57640
LOC102351932,NW_005823425.1,28923,29855,NW_005823425.1:28923-29855
LOC102351813,NW_005821365.1,126493,127398,NW_005821365.1:126493-127398
LOC102351656,NW_005823425.1,3610,4524,NW_005823425.1:3610-4524
LOC102351652,NW_005822526.1,157456,158355,NW_005822526.1:157456-158355
LOC102351544,NW_005821365.1,92638,93537,NW_005821365.1:92638-93537
LOC102351050,NW_005825080.1,3499,4267,NW_005825080.1:3499-4267
LOC102350937,NW_005822097.1,202989,203810,NW_005822097.1:202989-203810
LOC102350872,NW_005824689.1,16041,16931,NW_005824689.1:16041-16931
LOC102350677,NW_005822097.1,127085,127993,NW_005822097.1:127085-127993
LOC102350619,NW_005824689.1,1258,2205,NW_005824689.1:1258-2205
LOC102350416,NW_005822097.1,116134,117039,NW_005822097.1:116134-117039
LOC102347907,NW_005820094.1,148288,149223,NW_005820094.1:148288-149223
LOC102346803,NW_005827365.1,4009,4899,NW_005827365.1:4009-4899
LOC102346614,NW_005824347.1,1170,1844,NW_005824347.1:1170-1844
LOC102345564,NW_005823641.1,13968,14873,NW_005823641.1:13968-14873
LOC102345179,NW_005821217.1,37631,38563,NW_005821217.1:37631-38563
LOC102345124,NW_005828361.1,2668,3570,NW_005828361.1:2668-3570
LOC106706867,NW_005822097.1,144528,145425,NW_005822097.1:144528-145425
LOC106706423,NW_005821365.1,268791,269684,NW_005821365.1:268791-269684
LOC106706422,NW_005821365.1,233502,234389,NW_005821365.1:233502-234389
LOC106705621,NW_005820534.1,553375,554211,NW_005820534.1:553375-554211
LOC106702307,NW_005831236.1,2230,3144,NW_005831236.1:2230-3144
LOC106702014,NW_005824038.1,29748,32692,NW_005824038.1:29748-32692
LOC106701920,NW_005823379.1,42747,55665,NW_005823379.1:42747-55665
LOC106701891,NW_005823233.1,53347,54282,NW_005823233.1:53347-54282
LOC102367028,NW_005824009.1,9518,10348,NW_005824009.1:9518-10348
LOC102365644,NW_005822199.1,41217,42134,NW_005822199.1:41217-42134
LOC102363102,NW_005823233.1,93275,100147,NW_005823233.1:93275-100147
LOC102362027,NW_005821752.1,210012,223797,NW_005821752.1:210012-223797
LOC102361490,NW_005821752.1,138588,143169,NW_005821752.1:138588-143169
LOC102360812,NW_005823366.1,6904,14089,NW_005823366.1:6904-14089
LOC102355518,NW_005820534.1,212005,212868,NW_005820534.1:212005-212868
LOC102355254,NW_005820534.1,56454,129769,NW_005820534.1:56454-129769
LOC102353056,NW_005820891.1,389279,390458,NW_005820891.1:389279-390458
LOC102352556,NW_005822273.1,107523,108731,NW_005822273.1:107523-108731
LOC102352474,NW_005823425.1,65361,66182,NW_005823425.1:65361-66182
LOC102352292,NW_005823090.1,11583,12446,NW_005823090.1:11583-12446
LOC102351392,NW_005822526.1,122864,123489,NW_005822526.1:122864-123489
LOC102351148,NW_005824689.1,29096,29947,NW_005824689.1:29096-29947
LOC102346526,NW_005824038.1,43523,53889,NW_005824038.1:43523-53889
