genome_name,species,Assembly_version_NCBI,Accession,Complete7tm,Completeno7tm,Complete_Total,Ambiguous,Edge,Pseudogene,Truncated
Loxodonta_africana,Loxodonta_africana,GCA_000001905.1_Loxafr3.0,GCA_000001905.1,19,2,21,0,1,22,1
Notamacropus_eugenii,Notamacropus_eugenii,GCA_000004035.1_Meug_1.1,GCA_000004035.1,16,4,20,7,19,12,3
Myotis_lucifugus,Myotis_lucifugus,GCA_000147115.1_Myoluc2.0,GCA_000147115.1,28,1,29,1,2,7,1
Mchenga_conophoros,Mchenga_conophoros,GCA_000150855.1_ASM15085v1,GCA_000150855.1,0,0,0,1,0,0,0
Labeotropheus_fuelleborni,Labeotropheus_fuelleborni,GCA_000150875.1_ASM15087v1,GCA_000150875.1,0,0,0,1,0,0,0
Melanochromis_auratus,Melanochromis_auratus,GCA_000150895.1_ASM15089v1,GCA_000150895.1,0,0,0,0,0,0,0
Rhamphochromis_esox,Rhamphochromis_esox,GCA_000150935.1_ASM15093v1,GCA_000150935.1,0,0,0,0,0,0,0
Cavia_porcellus,Cavia_porcellus,GCA_000151735.1_Cavpor3.0,GCA_000151735.1,30,1,31,0,0,43,1
Pteropus_vampyrus,Pteropus_vampyrus,GCA_000151845.2_Pvam_2.0,GCA_000151845.2,16,0,16,2,2,10,0
Dipodomys_ordii,Dipodomys_ordii,GCA_000151885.2_Dord_2.0,GCA_000151885.2,20,1,21,0,0,5,1
Choloepus_hoffmanni,Choloepus_hoffmanni,GCA_000164785.2_C_hoffmanni-2.0.1,GCA_000164785.2,9,1,10,0,2,19,0
Carlito_syrichta,Carlito_syrichta,GCA_000164805.2_Tarsius_syrichta-2.0.1,GCA_000164805.2,23,2,25,0,1,21,0
Vicugna_pacos,Vicugna_pacos,GCA_000164845.5_VicPac3.2,GCA_000164845.5,12,1,13,0,0,7,0
Tetraodon_nigroviridis,Tetraodon_nigroviridis,GCA_000180735.1_ASM18073v1,GCA_000180735.1,6,0,6,0,0,1,1
Sorex_araneus,Sorex_araneus,GCA_000181275.2_SorAra2.0,GCA_000181275.2,44,3,47,3,2,15,0
Otolemur_garnettii,Otolemur_garnettii,GCA_000181295.3_OtoGar3,GCA_000181295.3,22,0,22,0,8,10,1
Tupaia_belangeri,Tupaia_belangeri,GCA_000181375.1_ASM18137v1,GCA_000181375.1,17,2,19,0,13,17,0
Python_bivittatus,Python_bivittatus,GCA_000186305.2_Python_molurus_bivittatus-5.0.2,GCA_000186305.2,1,0,1,0,0,1,0
Dasypus_novemcinctus,Dasypus_novemcinctus,GCA_000208655.4_Dasnov3.2,GCA_000208655.4,10,0,10,0,1,16,1
Latimeria_chalumnae,Latimeria_chalumnae,GCA_000225785.1_LatCha1,GCA_000225785.1,69,5,74,2,10,49,7
Pelodiscus_sinensis,Pelodiscus_sinensis,GCA_000230535.1_PelSin_1.0,GCA_000230535.1,10,1,11,0,0,4,1
Leucoraja_erinacea,Leucoraja_erinacea,GCA_000238235.1_LER_WGS_1,GCA_000238235.1,0,0,0,0,0,0,1
Pundamilia_nyererei,Pundamilia_nyererei,GCA_000239375.1_PunNye1.0,GCA_000239375.1,1,0,1,0,0,0,0
Neolamprologus_brichardi,Neolamprologus_brichardi,GCA_000239395.1_NeoBri1.0,GCA_000239395.1,1,0,1,0,0,0,0
Trichechus_manatus_latirostris,Trichechus_manatus_latirostris,GCA_000243295.1_TriManLat1.0,GCA_000243295.1,6,3,9,0,1,22,1
Octodon_degus,Octodon_degus,GCA_000260255.1_OctDeg1.0,GCA_000260255.1,39,2,41,1,5,45,5
Condylura_cristata,Condylura_cristata,GCA_000260355.1_ConCri1.0,GCA_000260355.1,14,0,14,0,1,5,1
Geospiza_fortis,Geospiza_fortis,GCA_000277835.1_GeoFor_1.0,GCA_000277835.1,6,1,7,1,1,1,2
Alligator_mississippiensis,Alligator_mississippiensis,GCA_000281125.4_ASM28112v4,GCA_000281125.4,9,0,9,0,0,3,1
Chrysochloris_asiatica,Chrysochloris_asiatica,GCA_000296735.1_ChrAsi1.0,GCA_000296735.1,17,1,18,0,0,11,0
