Name,Gene,First,Last,Full_name
xTAS2R101,NC_030677.2,142784561,142785510,NC_030677.2:142784561-142785510
xTAS2R102,NC_030677.2,142794049,142795034,NC_030677.2:142794049-142795034
xTAS2R103,NC_030677.2,142803207,142804165,NC_030677.2:142803207-142804165
xTAS2R104,NC_030681.2,159983992,159984950,NC_030681.2:159983992-159984950
xTAS2R105,NC_030681.2,159990733,159991658,NC_030681.2:159990733-159991658
xTAS2R106,NC_030681.2,159995478,159996421,NC_030681.2:159995478-159996421
xTAS2R107,NC_030681.2,159998141,159999093,NC_030681.2:159998141-159999093
xTAS2R108,NC_030681.2,160001628,160002565,NC_030681.2:160001628-160002565
xTAS2R109,NC_030681.2,160012673,160013574,NC_030681.2:160012673-160013574
xTAS2R110,NC_030681.2,160016358,160017298,NC_030681.2:160016358-160017298
xTAS2R111,NC_030681.2,160025847,160026766,NC_030681.2:160025847-160026766
xTAS2R112,NC_030681.2,160031158,160032143,NC_030681.2:160031158-160032143
xTAS2R113,NC_030681.2,160037874,160038811,NC_030681.2:160037874-160038811
xTAS2R114,NC_030681.2,160040587,160041506,NC_030681.2:160040587-160041506
xTAS2R115,NC_030681.2,160048580,160049499,NC_030681.2:160048580-160049499
xTAS2R116,NC_030683.2,18672004,18672899,NC_030683.2:18672004-18672899
xTAS2R117,NC_030683.2,18683381,18684273,NC_030683.2:18683381-18684273
xTAS2R118,NC_030683.2,18691391,18692385,NC_030683.2:18691391-18692385
xTAS2R119,NC_030683.2,18855735,18856756,NC_030683.2:18855735-18856756
xTAS2R120,NC_030683.2,18861902,18862863,NC_030683.2:18861902-18862863
xTAS2R121,NC_030683.2,96759279,96760189,NC_030683.2:96759279-96760189
xTAS2R122,NC_030684.2,121614258,121615156,NC_030684.2:121614258-121615156
xTAS2R123,NC_030684.2,121656781,121657697,NC_030684.2:121656781-121657697
xTAS2R124,NC_030685.2,11960140,11961026,NC_030685.2:11960140-11961026
xTAS2R125,NC_030685.2,11962879,11963846,NC_030685.2:11962879-11963846
xTAS2R126,NC_030685.2,11969829,11970832,NC_030685.2:11969829-11970832
xTAS2R127,NC_030685.2,11974463,11975460,NC_030685.2:11974463-11975460
xTAS2R128,NC_030685.2,11978177,11979120,NC_030685.2:11978177-11979120
xTAS2R129,NC_030685.2,11991437,11992416,NC_030685.2:11991437-11992416
xTAS2R130,NC_030685.2,11995138,11996027,NC_030685.2:11995138-11996027
xTAS2R131,NC_030685.2,12008789,12009672,NC_030685.2:12008789-12009672
xTAS2R132,NC_030685.2,12019742,12020655,NC_030685.2:12019742-12020655
xTAS2R133,NC_030685.2,12031355,12032226,NC_030685.2:12031355-12032226
xTAS2R134,NC_030685.2,12033010,12033881,NC_030685.2:12033010-12033881
xTAS2R135,NC_030685.2,12036884,12037755,NC_030685.2:12036884-12037755
xTAS2R136,NC_030685.2,12040977,12041884,NC_030685.2:12040977-12041884
xTAS2R137,NC_030685.2,12044561,12045450,NC_030685.2:12044561-12045450
xTAS2R138,NC_030685.2,12049748,12050358,NC_030685.2:12049748-12050358
xTAS2R139,NC_030685.2,12057409,12058325,NC_030685.2:12057409-12058325
xTAS2R140,NC_030685.2,12068136,12069016,NC_030685.2:12068136-12069016
xTAS2R141,NC_030685.2,12071868,12072754,NC_030685.2:12071868-12072754
xTAS2R142,NC_030685.2,12074718,12075604,NC_030685.2:12074718-12075604
xTAS2R143,NC_030685.2,12077742,12078628,NC_030685.2:12077742-12078628
xTAS2R144,NC_030685.2,12086074,12086963,NC_030685.2:12086074-12086963
xTAS2R145,NC_030685.2,12088764,12089647,NC_030685.2:12088764-12089647
xTAS2R146,NC_030685.2,12091408,12092291,NC_030685.2:12091408-12092291
xTAS2R147,NC_030685.2,12094936,12095819,NC_030685.2:12094936-12095819
xTAS2R148,NC_030685.2,12098828,12099711,NC_030685.2:12098828-12099711
xTAS2R149,NC_030685.2,12103922,12104787,NC_030685.2:12103922-12104787
xTAS2R150,NC_030685.2,12109870,12110825,NC_030685.2:12109870-12110825
xTAS2R151,NC_030685.2,12114030,12114970,NC_030685.2:12114030-12114970
xTAS2R152,NC_030685.2,12118217,12119103,NC_030685.2:12118217-12119103
xTAS2R153,NC_030685.2,14045211,14046157,NC_030685.2:14045211-14046157
