chromosome,start,stop,accession
CM040772.1,18672273,20673211,GCA_022829085.1
CM040780.1,16198224,18199261,GCA_022829085.1
CM040780.1,3230761,5231738,GCA_022829085.1
CM029184.1,39497333,41503683,GCA_016904835.1
CM029184.1,35619186,37620157,GCA_016904835.1
CM029186.1,31596478,33597431,GCA_016904835.1
CM038067.1,26423597,28429753,GCA_021347895.1
CM038060.1,28276435,30277415,GCA_021347895.1
CM038060.1,2628892,4629878,GCA_021347895.1
LR884468.1,18050855,20056391,GCA_904848185.1
LR884464.1,28738130,30739107,GCA_904848185.1
OV839380.1,21671345,23672292,GCA_929443795.2
OV839382.1,0,1457801,GCA_929443795.2
CM050184.1,11073255,14052379,GCA_027475565.2
CM050194.1,43326212,45472841,GCA_027475565.2
CM050179.1,227673162,229674058,GCA_027475565.2
CM050184.1,61703505,63704431,GCA_027475565.2
OV754629.1,5968826,7973609,GCA_902713425.2
OV754670.1,103704208,105813088,GCA_902713425.2
OV754680.1,6127917,8132772,GCA_902713425.2
OV754630.1,1968848,3969795,GCA_902713425.2
OV754645.1,2742484,4743443,GCA_902713425.2
OV754646.1,1367864,3368865,GCA_902713425.2
OV754649.1,2633004,4634005,GCA_902713425.2
OV754682.1,8455925,10456893,GCA_902713425.2
OV754684.1,24225446,26226375,GCA_902713425.2
CM057028.1,83840821,85922511,GCA_029890205.1
CM057028.1,85136346,87427223,GCA_029890205.1
CM057029.1,132382670,135014789,GCA_029890205.1
CM057028.1,145788970,147789851,GCA_029890205.1
CM057033.1,87757812,89758801,GCA_029890205.1
CM057037.1,88003282,90004298,GCA_029890205.1
OU015376.1,77504701,79728724,GCA_907164435.1
OU015376.1,78807008,80811024,GCA_907164435.1
OU015377.1,13883967,16485882,GCA_907164435.1
CAJQZA010012969.1,0,1013029,GCA_907164435.1
CAJQZA010017254.1,0,1002881,GCA_907164435.1
OU015376.1,94197684,96198565,GCA_907164435.1
OU015381.1,37910590,39911579,GCA_907164435.1
OU015382.1,24085572,26086588,GCA_907164435.1
LR877221.1,0,1841330,GCA_903995435.1
LR877221.1,1029903,3114521,GCA_903995435.1
LR877224.1,54930277,57486374,GCA_903995435.1
LR877220.1,25306002,27306937,GCA_903995435.1
LR877221.1,17124640,19125521,GCA_903995435.1
LR877235.1,32625600,34626637,GCA_903995435.1
CM050533.1,110329910,112357334,GCA_027559615.1
CM050532.1,29644591,31645526,GCA_027559615.1
CM050532.1,33830333,35831295,GCA_027559615.1
OU383774.1,27640719,29659673,GCA_910950805.1
OU383775.1,108279159,110338656,GCA_910950805.1
OU383774.1,31729926,33730891,GCA_910950805.1
CM056144.1,9089360,11090451,GCA_029620275.1
CM056144.1,15659799,17660722,GCA_029620275.1
CM056148.1,13576275,15577240,GCA_029620275.1
CM056148.1,25992257,27993240,GCA_029620275.1
CM036715.2,88940128,90986874,GCA_020745825.3
CM036716.1,69836759,71844280,GCA_020745825.3
CM036716.1,108913806,110932045,GCA_020745825.3
CM036715.2,84826817,86827782,GCA_020745825.3
CM054098.1,7082001,9087678,GCA_028640845.1
CM022819.1,199121859,202290460,GCA_002007445.3
CM022834.1,9760221,11896862,GCA_002007445.3
CM022819.1,150746794,152747708,GCA_002007445.3
CM022821.1,139091830,141092726,GCA_002007445.3
LNAT02004837.1,0,1005374,GCA_002007445.3
CM040744.1,27658136,29661041,GCA_022829145.1
CM040744.1,33581268,35582242,GCA_022829145.1
CM040745.1,15001156,17002148,GCA_022829145.1
CM018076.1,210915179,212916126,GCA_008658365.1
CM018078.1,117676055,119677020,GCA_008658365.1
CM047479.1,154294103,156679085,GCA_026122505.1
CM047481.1,37959687,39992006,GCA_026122505.1
CM047481.1,141834400,144679551,GCA_026122505.1
CM047479.1,153162781,155163713,GCA_026122505.1
CM047479.1,359323662,361324609,GCA_026122505.1
CM047481.1,15289123,17290124,GCA_026122505.1
CM030048.1,14593197,16594123,GCA_017589495.2
CM030048.1,33659688,35660620,GCA_017589495.2
CM030050.1,26883039,28884025,GCA_017589495.2
CM031717.1,26451189,28452115,GCA_018492685.1
CM031717.1,2773418,4774350,GCA_018492685.1
CM031723.1,28612962,30613948,GCA_018492685.1
CM029889.1,4160460,6161428,GCA_017639355.1
CM029890.1,18621370,20622320,GCA_017639355.1
axolotl_17_aa,214545311,217076138,GCA_002915635.3
axolotl_19_aa,464705676,466896869,GCA_002915635.3
axolotl_19_ab,182666188,185706517,GCA_002915635.3
axolotl_19_ab,186590837,188740937,GCA_002915635.3
axolotl_25_aa,13872627,16243847,GCA_002915635.3
axolotl_5_aa,12962296,15458386,GCA_002915635.3
axolotl_5_aa,33847698,35881391,GCA_002915635.3
axolotl_5_aa,41280106,43535828,GCA_002915635.3
axolotl_5_aa,49920824,53112613,GCA_002915635.3
axolotl_5_aa,57458368,60111207,GCA_002915635.3
axolotl_5_aa,121623391,124205531,GCA_002915635.3
axolotl_5_aa,129194722,131218265,GCA_002915635.3
axolotl_5_aa,147386033,149492293,GCA_002915635.3
axolotl_5_ab,235408975,237677443,GCA_002915635.3
axolotl_7_aa,149671334,151836511,GCA_002915635.3
PGSH02019522.1,0,1008082,GCA_002915635.3
PGSH02019568.1,0,1009288,GCA_002915635.3
PGSH02019581.1,0,1013242,GCA_002915635.3
