accession,chromosome,start,mini,ends
GCA_022829085.1,CM040772.1,19672273,TRUE,0.419961448
GCA_022829085.1,CM040780.1,17198224,TRUE,0.461216138
GCA_022829085.1,CM040780.1,4230761,TRUE,0.113459114
GCA_016904835.1,CM029184.1,36619186,TRUE,0.380439573
GCA_016904835.1,CM029184.1,40497333,TRUE,0.420729944
GCA_016904835.1,CM029184.1,40502748,TRUE,0.420786201
GCA_016904835.1,CM029186.1,32596478,TRUE,0.372687077
GCA_021347895.1,CM038060.1,29276435,TRUE,0.329217885
GCA_021347895.1,CM038060.1,3628892,TRUE,0.083145228
GCA_021347895.1,CM038067.1,27423597,TRUE,0.323801558
GCA_021347895.1,CM038067.1,27428746,TRUE,0.323674597
GCA_904848185.1,LR884464.1,29738130,TRUE,0.052955685
GCA_904848185.1,LR884468.1,19050855,TRUE,0.379812686
GCA_904848185.1,LR884468.1,19055384,TRUE,0.379665247
GCA_929443795.2,OV839380.1,22671345,TRUE,0.211294806
GCA_929443795.2,OV839382.1,456866,TRUE,0.016339938
GCA_027475565.2,CM050179.1,228673162,TRUE,0.029685535
GCA_027475565.2,CM050184.1,12073255,TRUE,0.072866267
GCA_027475565.2,CM050184.1,13041842,TRUE,0.078712024
GCA_027475565.2,CM050184.1,13051429,TRUE,0.078769885
GCA_027475565.2,CM050184.1,62703505,TRUE,0.378437326
GCA_027475565.2,CM050194.1,44326212,TRUE,0.317526912
GCA_027475565.2,CM050194.1,44348562,TRUE,0.317687014
GCA_027475565.2,CM050194.1,44405284,TRUE,0.318093337
GCA_027475565.2,CM050194.1,44464406,TRUE,0.318516852
GCA_027475565.2,CM050194.1,44471795,TRUE,0.318569783
GCA_902713425.2,OV754629.1,6968826,TRUE,0.216950276
GCA_902713425.2,OV754629.1,6972647,TRUE,0.21706923
GCA_902713425.2,OV754630.1,2968848,TRUE,0.09435013
GCA_902713425.2,OV754645.1,3742484,TRUE,0.334061741
GCA_902713425.2,OV754646.1,2367864,TRUE,0.21169863
GCA_902713425.2,OV754649.1,3633004,TRUE,0.328464832
GCA_902713425.2,OV754670.1,104704208,TRUE,0.129532084
GCA_902713425.2,OV754670.1,104812105,TRUE,0.128635073
GCA_902713425.2,OV754680.1,7127917,TRUE,0.160944302
GCA_902713425.2,OV754680.1,7131813,TRUE,0.161032271
GCA_902713425.2,OV754682.1,9455925,TRUE,0.236209411
GCA_902713425.2,OV754684.1,25225446,TRUE,0.305467101
GCA_029890205.1,CM057028.1,146788970,TRUE,0.033066244
GCA_029890205.1,CM057028.1,84840821,TRUE,0.441133392
GCA_029890205.1,CM057028.1,84843945,TRUE,0.441112814
GCA_029890205.1,CM057028.1,84921255,TRUE,0.440603555
GCA_029890205.1,CM057028.1,86136346,TRUE,0.432599462
GCA_029890205.1,CM057028.1,86192069,TRUE,0.432232401
GCA_029890205.1,CM057028.1,86390443,TRUE,0.430925665
GCA_029890205.1,CM057028.1,86396614,TRUE,0.430885015
GCA_029890205.1,CM057028.1,86426297,TRUE,0.430689486
GCA_029890205.1,CM057029.1,133382670,TRUE,0.109302347
GCA_029890205.1,CM057029.1,133406226,TRUE,0.109145046
GCA_029890205.1,CM057029.1,133414110,TRUE,0.109092399
GCA_029890205.1,CM057029.1,133417832,TRUE,0.109067544
